State,Parish,Composite Score,heater_z Slope,cooler_z Slope,precip_z Slope,temp_a_z Slope,temp_max_z Slope,temp_min_z Slope
Louisiana,Terrebonne,43.73,-0.0000226089,0.0000068470,0.0000162960,0.0000066584,-0.0000002444,0.0000147736
Louisiana,Union,70.70,-0.0000198253,0.0000206305,0.0000049051,0.0000191902,0.0000241636,0.0000120505
Louisiana,Vermilion,66.85,-0.0000182572,0.0000164522,-0.0000013542,0.0000129556,0.0000129193,0.0000125962
Louisiana,Vernon,44.58,-0.0000035082,-0.0000043850,0.0000083630,-0.0000050634,0.0000035093,-0.0000120686
Louisiana,Washington,24.59,-0.0000111546,-0.0000018949,0.0000012308,-0.0000010538,0.0000049267,-0.0000051390
Louisiana,Webster,64.55,-0.0000317882,0.0000315874,0.0000077066,0.0000298213,0.0000414386,0.0000145539
Louisiana,West Baton Rouge,35.81,-0.0000138835,0.0000092583,0.0000020377,0.0000065470,-0.0000059060,0.0000207317
Louisiana,West Carroll,44.58,-0.0000139715,0.0000121301,-0.0000013359,0.0000105078,0.0000233281,-0.0000038670
Louisiana,West Feliciana,39.33,-0.0000104697,-0.0000020962,0.0000039993,-0.0000023119,-0.0000093788,0.0000098941
Louisiana,Winn,56.84,-0.0000201306,0.0000240818,0.0000078655,0.0000207468,0.0000349986,0.0000029949
